variant	mode	test	observed_outcome	expected_causal_outcome
route-only-timeout	normal	TestCompletedReleaseProofCountIgnoresOnlyTrailingFragment	PASS	PASS
route-only-timeout	normal	TestCompletedReleaseProofCountRejectsDurableCorruption	PASS	PASS
route-only-timeout	normal	TestPostTopologyTournamentGatePropagatesBoundaryFailure	PASS	PASS
route-only-timeout	normal	TestPostTopologyTournamentGateRequiresFreshPostTournamentProof	PASS	PASS
route-only-timeout	normal	TestProcessLogGateRejectsSupervisorGenerationChange	PASS	PASS
route-only-timeout	normal	TestReleaseTopologyReadinessRequiresFreshProofsAndRejectsRestart	PASS	PASS
route-only-timeout	normal	TestReleaseTopologyReadinessRetainedHistoryWaitCancellationPrecedesAdmission	PASS	PASS
route-only-timeout	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsProofDeadline	PASS	PASS
route-only-timeout	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsSafetyGates	PASS	PASS
route-only-timeout	normal	TestReleaseTopologyReadinessRetainedHistoryWarmupIsRouteIndependent	FAIL	FAIL
route-only-timeout	normal	TestSupervisorStartupPublicRPCWavesRetainCompleteReadiness	PASS	PASS
cancellation-after-snapshot	normal	TestCompletedReleaseProofCountIgnoresOnlyTrailingFragment	PASS	PASS
cancellation-after-snapshot	normal	TestCompletedReleaseProofCountRejectsDurableCorruption	PASS	PASS
cancellation-after-snapshot	normal	TestPostTopologyTournamentGatePropagatesBoundaryFailure	PASS	PASS
cancellation-after-snapshot	normal	TestPostTopologyTournamentGateRequiresFreshPostTournamentProof	PASS	PASS
cancellation-after-snapshot	normal	TestProcessLogGateRejectsSupervisorGenerationChange	PASS	PASS
cancellation-after-snapshot	normal	TestReleaseTopologyReadinessRequiresFreshProofsAndRejectsRestart	PASS	PASS
cancellation-after-snapshot	normal	TestReleaseTopologyReadinessRetainedHistoryWaitCancellationPrecedesAdmission	FAIL	FAIL
cancellation-after-snapshot	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsProofDeadline	PASS	PASS
cancellation-after-snapshot	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsSafetyGates	PASS	PASS
cancellation-after-snapshot	normal	TestReleaseTopologyReadinessRetainedHistoryWarmupIsRouteIndependent	PASS	PASS
cancellation-after-snapshot	normal	TestSupervisorStartupPublicRPCWavesRetainCompleteReadiness	PASS	PASS
